,,,,,
,취준 단계,오늘 상황,시간과 일정,추천 챌린지 (추천 결과 / 추가 추천 받기),플랜(추천 결과 / 추가 추천 받기)
,,,한 달 여유로 이력서·자소서 둘 다 제대로 쓸게요,이력서 / 자소서,스탠다드 / 스탠다드
,"""자기소개서 작성에
어려움을 느껴요""","직무 역량·지원동기 중심
 기본 자소서가 필요해요",가이드만으로 스스로 작성해볼게요,자소서,베이직
,,,멘토 LIVE 피드백 1회로 완성하고 싶어요,자소서,스탠다드
,,,문항마다 심층 피드백 받아 완성하고 싶어요,자소서,프리미엄
,,"삼성·현대·SK 등
 대기업 공채 자소서가 필요해요",기업·산업 분석 가이드로 스스로 써볼게요,대기업 자소서,베이직
,,,멘토 피드백 받으며 공채 자소서를 완성할게요,대기업 자소서,스탠다드
,,,문항별 집중 첨삭으로 합격 자소서를 완성할게요,대기업 자소서,프리미엄
,,"자소서에 포폴 사례까지
 함께 보여줘야 해요",가이드로 자소서·포폴 틀을 잡아볼게요,자소서 / 포트폴리오,베이직 / 베이직
,,,멘토 피드백으로 자소서를 완성하고 싶어요,자소서 / 포트폴리오,스탠다드 / 스탠다드
,,,자소서·포폴 둘 다 집중 피드백 받고 싶어요,자소서 / 포트폴리오,프리미엄 / 프리미엄
,"""포트폴리오
제작이 필요해요""","직무 포트폴리오를
 처음 만들어야 해요",초안이 있으니 가이드로 구조화할게요,포트폴리오,베이직
,,,예시·템플릿 보며 처음부터 만들고 싶어요,포트폴리오 / 포트폴리오,스탠다드 / 베이직
,,,멘토 피드백으로 완성도를 높이고 싶어요,포트폴리오,스탠다드
,,"마케팅 직무 취업을 위한
 포폴과 서류가 필요해요",초안이 있으니 올인원 가이드로 정리할게요,마케팅 올인원,베이직
,,,멘토 피드백 받아 마케팅 포폴을 완성할게요,마케팅 올인원,스탠다드
,,,현직자 멘토의 강의와 무제한 QNA와 함께 마케팅 포폴을 완성할게요,마케팅 올인원,프리미엄
,,"HR 직무 취업을 위한
 포폴과 서류가 필요해요",초안이 있으니 올인원 가이드로 정리할게요,HR 올인원,베이직
,,,멘토 피드백 받아 HR 포폴을 완성할게요,HR 올인원,스탠다드
,,,현직자 멘토의 강의와 무제한 QNA와 함께 HR 포폴을 완성할게요,HR 올인원,프리미엄
,"""실제 지원 전에
서류를 완성하고 싶어요""","삼성·현대·SK 등
 대기업 공채를 집중 준비해요",경험부터 다시 정리하며 공채 자소서를 써볼게요,대기업 자소서 / 자소서,베이직 / 베이직
,,,문항별 집중 첨삭으로 완성도를 높이고 싶어요,대기업 자소서,프리미엄
,,,자소서 가이드로 빠르게 완성할게요,대기업 자소서,스탠다드
,,"마케팅 직무로
 취업을 본격 준비해요",경험부터 다시 정리하며 마케팅 서류를 써볼게요,마케팅 올인원 / 경험정리,베이직 / 베이직
,,,현직자 특강·멘토 피드백으로 완성도를 높이고 싶어요,마케팅 올인원,프리미엄
,,,마케팅 서류를 가이드로 빠르게 완성할게요,마케팅 올인원,스탠다드
,,"HR 직무로
 취업을 본격 준비해요",경험부터 다시 정리하며 HR 서류를 써볼게요,HR 올인원 / 경험정리,베이직 / 베이직
,,,현직자 특강·멘토 피드백으로 완성도를 높이고 싶어요,HR 올인원,프리미엄
,,,HR 서류를 가이드로 빠르게 완성할게요,HR 올인원,스탠다드
,"""면접 준비가
필요해요""","서류는 통과하는데
 면접에서 자꾸 떨어져요",자기소개·기본 답변을 스스로 정리할게요,면접,베이직
,,,모의면접 1회로 실전 피드백 받고 싶어요,면접,스탠다드
,,,모의면접 2회 + 현직자 특강까지 받고 싶어요,면접,프리미엄
,,"면접이 처음이에요
 기초부터 체계적으로 준비할게요",답변 구성과 예상 질문을 혼자 정리할게요,면접,베이직
,,,모의면접으로 부족한 부분 피드백 받을게요,면접,스탠다드
,,,모의면접 + 현직자 특강으로 완전히 준비할게요,면접,프리미엄
,,"서류와 면접을
 함께 준비해야 해요",서류가 더 급해서 서류 먼저 끝낼게요,이력서 / 면접,베이직 / 베이직
,,,서류 완성 후 면접까지 이어서 준비할게요,자소서 / 면접,베이직 / 스탠다드
,,,서류도 면접도 둘 다 제대로 받고 싶어요,자소서 / 면접,스탠다드 / 프리미엄
,"""아직 저의 취준 단계를
잘 모르겠어요""","아직 아무것도 시작을
 못 했어요",일단 경험 정리부터 차근차근 시작할게요,경험정리 / 이력서,베이직 / 베이직
,,,시간이 없으니 이력서·자소서부터 바로 시작할게요,이력서 / 자소서,베이직 / 베이직
,,,천천히 완성도 높게 처음부터 준비하고 싶어요,경험정리 / 이력서,베이직 / 스탠다드
,,"서류를 쓰고 있는데
 방향이 맞는지 모르겠어요",자소서·이력서 방향을 처음부터 다시 잡아볼게요,자소서 / 이력서,베이직 / 베이직
,,,시간이 없으니 이력서·자소서를 빠르게 마무리할게요,이력서 / 자소서,베이직 / 베이직
,,,멘토 피드백으로 자소서 완성도를 높이고 싶어요,자소서 / 포트폴리오,스탠다드 / 베이직
,,"거의 다 됐는데
 마지막 점검이 필요해요",포폴·자소서를 마지막으로 한 번 점검하고 싶어요,포트폴리오 / 대기업 자소서,베이직 / 베이직
,,,시간이 없어서 빠르게 마무리할게요,포트폴리오 / 대기업 자소서,베이직 / 베이직
,,,멘토 피드백으로 마지막 완성도를 올리고 싶어요,자소서 / 포트폴리오,스탠다드 / 베이직
